Class,CSORD_CountLineCodeExe,CSORD_CountDeclMethodPublic,CSORD_MinLineCode,PK_SDLineCodeExe,CSORD_SumCSNOPNAMM,PK_MinLineCode,CSORD_AvgKnots,CSORD_MaxCSNOPNAMM,CSORD_SDCountPath,PK_CountDeclFile,PK_AvgCyclomaticModified,CSORD_MaxCountPath,CSORD_MinStmtDeclNAMM,CSORD_MinEssentialNAMM,CSORD_MinEssentialNAMM,CSORD_SDCSNOPNAMM,CSORD_CountDeclClassMethod,PK_MaxCyclomaticModified,CSORD_MinCSNOPNAMM,CSORD_MinCSNOP,CSORD_NOII,PK_CountDeclMethodPrivate,CSLEX_NumberOfSuperStatements,CSORD_CountDeclClassVariable,CSORD_MaxInheritanceTree,CSORD_CountClassBase,CSORD_NumberOfMethodCalls,CSORD_CountClassDerived,CSORD_NumberOfMethodCalls,CSORD_CountDeclMethodDefault,CSORD_CountDeclMethodProtected,CSORD_CountDeclMethodDefault,CSORD_CountClassDerived,CSORD_NIM,PK_AvgEssential,CSORD_CountClassBase,CSORD_NIM,PK_AvgEssential,CSORD_CountDeclMethodPrivate,CSORD_CountClassBase,CSORD_NumberOfDependsBy,CSORD_NIM,CSORD_NumberOfMethodCalls,CSORD_MinKnots,PK_AvgEssential,Testability
net.sourceforge.squirrel_sql.fw.dialects.TeiidDialect,129,23,3,172.82351242271633,3,3,0.0434782608695652,2,0.2817713347133853,46,1,2,1,1,1,0.5578749768504754,0,27,0,0,79,16,0,0,2,1,0,1,0,0,0,0,1,12,1,1,12,1,0,1,1,12,0,0,1,0.7416562500000002
net.sourceforge.squirrel_sql.fw.dialects.TeiidDialectExt,59,39,4,172.82351242271633,2,3,0.0,2,0.0,46,1,1,1,1,1,0.3201453963314853,0,27,0,0,79,16,1,0,2,1,1,0,1,0,0,0,0,105,1,1,105,1,0,1,0,105,1,0,1,0.8945147679324894
net.sourceforge.squirrel_sql.fw.dialects.TimesTenDialectExt,149,76,4,172.82351242271633,3,3,0.0263157894736842,2,0.4083189644521818,46,1,4,1,1,1,0.3632415786283895,0,27,0,0,79,16,1,0,2,2,1,0,1,0,0,0,0,105,1,2,105,1,0,2,1,105,1,0,1,0.9239020013802622
net.sourceforge.squirrel_sql.fw.gui.BasePopupMenu,2,1,5,47.1947254958808,1,4,0.0,1,0.0,53,1,1,2,1,1,0.0,0,12,1,1,79,35,0,0,1,1,0,2,0,0,0,0,2,760,1,1,760,1,0,1,6,760,0,0,1,0.3599999999999999
net.sourceforge.squirrel_sql.fw.gui.BeanPropertyTable,10,5,4,47.1947254958808,1,4,0.0,1,0.0,53,1,1,1,1,1,0.4714045207910317,0,12,0,0,79,35,2,0,1,1,0,0,0,0,0,0,0,887,1,1,887,1,0,1,0,887,0,0,1,0.9776666666666668
net.sourceforge.squirrel_sql.fw.gui.BeanPropertyTableModel,43,5,4,47.1947254958808,7,4,0.125,3,3.603383826349893,53,1,12,1,1,1,1.2,0,12,0,0,79,35,1,2,1,1,2,0,2,0,2,0,0,67,1,1,67,1,1,1,1,67,2,0,1,0.8096666666666668
net.sourceforge.squirrel_sql.fw.gui.ButtonTableHeader,188,11,4,47.1947254958808,7,4,0.2857142857142857,2,3.8305964793691207,53,1,15,1,1,1,0.7856742013183863,2,12,0,0,79,35,2,4,1,1,4,0,4,0,0,0,0,727,1,1,727,1,3,1,10,727,4,0,1,0.3523607686130007
net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,33,2,4,47.1947254958808,1,4,2.5,1,60.5,53,1,122,1,1,1,0.5,0,12,0,0,79,35,1,2,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,2,12,0,0,1,0.1522776265640184
net.sourceforge.squirrel_sql.fw.gui.CharField,12,4,4,47.1947254958808,1,4,0.2,1,0.4,53,1,2,1,1,1,0.4714045207910317,0,12,0,0,79,35,4,0,1,1,0,0,0,0,1,0,0,823,1,1,823,1,0,1,0,823,0,0,1,0.5200344827586206
net.sourceforge.squirrel_sql.fw.gui.ChooserPreviewer,62,3,5,47.1947254958808,2,4,0.5,1,2.1065374432940898,53,1,6,1,1,1,0.4330127018922193,0,12,0,0,79,35,3,1,1,1,4,0,4,0,4,0,0,687,1,1,687,1,1,1,2,687,4,0,1,0.4253333333333334
net.sourceforge.squirrel_sql.fw.gui.ClassPathListModel,7,1,5,47.1947254958808,0,4,0.0,0,0.5,53,1,2,1,1,1,0.0,0,12,0,0,79,35,1,0,2,1,0,0,0,0,0,0,0,57,1,1,57,1,1,1,1,57,0,0,1,1.0
net.sourceforge.squirrel_sql.fw.gui.CursorChanger,10,4,4,47.1947254958808,3,4,0.0,2,1.299038105676658,53,1,4,1,1,1,0.82915619758885,0,12,0,0,79,35,1,0,1,1,0,0,0,0,0,0,0,12,1,1,12,1,0,1,22,12,0,0,1,1.0
net.sourceforge.squirrel_sql.fw.gui.DefaultFileListBoxModel,9,6,4,47.1947254958808,4,4,0.0,2,0.3726779962499649,53,1,2,1,1,1,0.7071067811865476,0,12,0,0,79,35,1,0,1,2,0,1,0,0,0,0,1,51,1,2,51,1,0,2,2,51,0,0,1,0.5841238854595336
net.sourceforge.squirrel_sql.fw.gui.DialogUtils,9,7,4,47.1947254958808,20,4,0.0,7,0.0,53,1,1,1,1,1,1.807015805810502,0,12,1,1,79,35,0,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,2,12,0,0,1,0.587171052631579
net.sourceforge.squirrel_sql.fw.gui.Dialogs,38,6,4,47.1947254958808,15,4,1.2857142857142858,3,7.941109776964168,53,1,24,1,1,1,0.6388765649999398,7,12,1,1,79,35,0,1,1,1,1,0,1,0,0,0,0,12,1,1,12,1,1,1,17,12,1,0,1,0.2744411764705882
net.sourceforge.squirrel_sql.fw.gui.DirectoryListComboBox,11,3,4,47.1947254958808,3,4,0.3333333333333333,2,1.8856180831641267,53,1,5,1,1,1,0.8164965809277259,0,12,0,0,79,35,1,0,1,1,0,1,0,0,0,0,1,767,1,1,767,1,0,1,2,767,0,0,1,0.3209161712247325
net.sourceforge.squirrel_sql.fw.gui.ErrorDialog,121,7,4,47.1947254958808,18,4,0.25,3,17.147035701057288,53,1,64,1,1,1,0.7713892158398701,1,12,0,0,79,35,9,1,1,1,1,0,1,0,0,0,0,749,1,1,749,1,5,1,12,749,1,0,1,0.024
net.sourceforge.squirrel_sql.fw.gui.FileListBox,4,4,4,47.1947254958808,1,4,0.0,1,0.0,53,1,1,1,1,1,0.5,0,12,0,0,79,35,1,0,1,1,0,0,0,0,0,0,0,769,1,1,769,1,0,1,7,769,0,0,1,0.575453125
net.sourceforge.squirrel_sql.fw.gui.FontChooser,126,11,4,47.1947254958808,8,4,0.125,2,0.7880950133074057,53,1,4,1,1,1,0.737820234355803,0,12,0,0,79,35,6,1,1,1,5,0,5,0,1,0,0,749,1,1,749,1,4,1,4,749,5,0,1,0.057
net.sourceforge.squirrel_sql.fw.gui.FontInfo,79,18,4,47.1947254958808,3,4,0.7777777777777778,1,2.824605293085813,53,1,13,1,1,1,0.4453617714151233,0,12,0,0,79,35,3,2,1,3,0,0,0,0,0,0,0,12,1,3,12,1,0,3,13,12,0,0,1,0.7315017126374618
net.sourceforge.squirrel_sql.fw.gui.FontInfoBeanInfo,29,1,36,47.1947254958808,0,4,1.0,0,0.0,53,1,2,0,0,0,0.0,0,12,0,0,79,35,0,0,1,1,0,0,0,0,0,0,0,21,1,1,21,1,0,1,0,21,0,1,1,0.9260000000000002
net.sourceforge.squirrel_sql.fw.gui.GUIUtils,178,17,4,47.1947254958808,14,4,1.0,2,11.298011405924274,53,1,51,1,1,1,0.4453617714151233,18,12,1,0,79,35,0,2,1,1,1,1,1,0,0,0,1,12,1,1,12,1,1,1,77,12,1,0,1,0.4325568576388889
net.sourceforge.squirrel_sql.fw.gui.IntegerField,14,4,4,47.1947254958808,1,4,0.2,1,0.4,53,1,2,1,1,1,0.4714045207910317,0,12,0,0,79,35,3,0,1,1,0,0,0,0,1,0,0,823,1,1,823,1,0,1,12,823,0,0,1,0.5824656084656085
net.sourceforge.squirrel_sql.fw.gui.JOptionPaneService,15,2,12,47.1947254958808,9,4,0.0,5,0.0,53,1,1,2,1,1,0.5,0,12,4,4,79,35,0,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,4,12,0,0,1,0.5416666666666666
net.sourceforge.squirrel_sql.fw.gui.MaximizeInternalFramePositioner,8,2,4,47.1947254958808,1,4,0.5,1,1.5,53,1,4,1,1,1,0.5,0,12,0,0,79,35,1,1,1,2,1,0,1,0,0,0,0,12,1,2,12,1,0,2,1,12,1,0,1,0.5055999999999999
net.sourceforge.squirrel_sql.fw.gui.MemoryComboBox,19,5,4,47.1947254958808,4,4,0.0,2,0.8,53,1,3,1,1,1,0.7071067811865476,0,12,0,0,79,35,2,2,1,1,0,1,0,0,0,0,1,767,1,1,767,1,0,1,3,767,0,0,1,0.5414178403755868
net.sourceforge.squirrel_sql.fw.gui.ModifiedDefaultListCellRenderer,3,1,9,47.1947254958808,0,4,0.0,0,0.0,53,1,1,0,0,0,0.0,0,12,0,5,79,35,1,0,1,1,0,0,0,0,0,0,0,745,1,1,745,1,0,1,1,745,0,0,1,0.3136
net.sourceforge.squirrel_sql.fw.gui.MultipleLineLabel,12,3,4,47.1947254958808,1,4,0.0,1,0.0,53,1,1,1,1,1,0.4714045207910317,0,12,0,0,79,35,2,0,1,1,0,3,0,0,0,0,3,820,1,1,820,1,0,1,14,820,0,0,1,1.0
net.sourceforge.squirrel_sql.fw.gui.OutputLabel,11,3,5,47.1947254958808,1,4,0.0,1,0.0,53,1,1,1,1,1,0.4714045207910317,0,12,0,0,79,35,3,1,1,1,0,0,0,0,0,0,0,726,1,1,726,1,1,1,1,726,0,0,1,1.0
net.sourceforge.squirrel_sql.fw.gui.PropertyPanel,39,7,4,47.1947254958808,15,4,0.375,3,2.315032397181517,53,1,8,1,1,1,0.9897433186107868,0,12,0,0,79,35,1,0,1,1,1,1,1,0,0,0,1,698,1,1,698,1,1,1,2,698,1,0,1,0.7378576388888889
net.sourceforge.squirrel_sql.fw.gui.RectangleSelectionHandler,39,7,3,47.1947254958808,7,4,0.0,3,0.4898979485566357,53,1,2,1,1,1,0.927024810886958,1,12,0,0,79,35,0,0,1,1,0,0,0,0,0,0,0,12,1,1,12,1,3,1,3,12,0,0,1,0.3763333333333333
net.sourceforge.squirrel_sql.fw.gui.RightLabel,1,1,4,47.1947254958808,1,4,0.0,1,0.0,53,1,1,1,1,1,0.0,0,12,1,1,79,35,1,0,1,1,0,0,0,0,0,0,0,726,1,1,726,1,0,1,5,726,0,0,1,1.0
net.sourceforge.squirrel_sql.fw.gui.SQLCatalogsComboBox,33,6,3,47.1947254958808,1,4,0.0,1,8.156629956354399,53,1,25,1,1,1,0.5,0,12,0,0,79,35,5,2,1,1,1,0,1,0,0,0,0,767,1,1,767,1,1,1,3,767,1,0,1,0.7113743315508022
net.sourceforge.squirrel_sql.fw.gui.SortableTable,12,7,4,47.1947254958808,6,4,0.0,2,0.0,53,1,1,1,1,1,0.7483314773547883,0,12,0,0,79,35,6,0,1,1,0,3,0,0,0,0,3,887,1,1,887,1,1,1,4,887,0,0,1,0.677797619047619
net.sourceforge.squirrel_sql.fw.gui.SortableTableModel,95,20,4,47.1947254958808,13,4,0.1818181818181818,2,0.8381404052084444,53,1,4,1,1,1,0.6793662204867574,0,12,0,0,79,35,1,1,1,1,1,0,1,0,0,0,0,28,1,1,28,1,2,1,16,28,1,0,1,0.7113517941811855
net.sourceforge.squirrel_sql.fw.gui.SortedComboBoxModel,9,3,4,47.1947254958808,3,4,0.75,2,0.8660254037844386,53,1,3,1,1,1,0.8164965809277259,0,12,0,0,79,35,2,0,1,1,0,2,0,0,1,0,2,32,1,1,32,1,0,1,2,32,0,0,1,0.5691638418079096
net.sourceforge.squirrel_sql.fw.gui.SortedListModel,16,7,4,47.1947254958808,9,4,0.375,2,0.6959705453537527,53,1,3,1,1,1,0.6998542122237652,0,12,0,0,79,35,2,0,1,1,0,2,0,0,1,0,2,51,1,1,51,1,0,1,5,51,0,0,1,0.7378144329896906
net.sourceforge.squirrel_sql.fw.gui.StatusBar,81,11,3,47.1947254958808,2,4,0.2307692307692308,1,1.3367805536140591,53,1,4,1,1,1,0.4714045207910317,1,12,0,0,79,35,4,1,1,1,4,1,4,0,0,0,1,698,1,1,698,1,2,1,10,698,4,0,1,0.7547767857142859
net.sourceforge.squirrel_sql.fw.gui.TablePopupMenu,189,6,4,47.1947254958808,12,4,0.0,4,2.315032397181517,53,1,8,1,1,1,1.7320508075688772,0,12,0,0,79,35,22,3,2,1,21,0,21,0,0,0,0,761,1,1,761,1,2,1,22,761,21,0,1,0.4170731707317073
net.sourceforge.squirrel_sql.fw.gui.TextPopupMenu,50,5,4,47.1947254958808,4,4,0.0,3,0.9428090415820636,53,1,4,1,1,1,1.1055415967851334,0,12,0,0,79,35,7,1,2,1,5,2,5,0,3,0,2,761,1,1,761,1,1,1,18,761,5,0,1,0.6625464520469955
net.sourceforge.squirrel_sql.fw.gui.TimePanel,30,5,4,47.1947254958808,1,4,0.0,1,2.33238075793812,53,1,7,1,1,1,0.4330127018922193,0,12,0,0,79,35,3,0,1,2,2,0,2,0,0,0,0,726,1,2,726,1,0,2,1,726,2,0,1,0.5598688524590164
net.sourceforge.squirrel_sql.fw.gui.ToggleComponentHolder,27,3,4,47.1947254958808,1,4,0.0,1,0.4330127018922193,53,1,2,1,1,1,0.4714045207910317,0,12,0,0,79,35,0,0,1,1,1,0,1,0,0,0,0,12,1,1,12,1,1,1,11,12,1,0,1,0.3803389830508474
net.sourceforge.squirrel_sql.fw.gui.ToolBar,43,6,4,47.1947254958808,7,4,0.25,2,3.278719262151,53,1,11,1,1,1,0.6871842709362768,0,12,0,0,79,35,5,1,1,1,1,5,1,0,2,0,5,719,1,1,719,1,0,1,13,719,1,0,1,0.6567619047619049
net.sourceforge.squirrel_sql.fw.gui.TreeDnDHandler,49,2,6,47.1947254958808,5,4,1.0,2,14.739402972983674,53,1,36,1,1,1,0.82915619758885,0,12,0,0,79,35,0,0,1,1,0,0,0,0,0,0,0,12,1,1,12,1,2,1,2,12,0,0,1,0.0656666666666666
net.sourceforge.squirrel_sql.fw.gui.WindowState,46,12,4,47.1947254958808,4,4,0.1538461538461538,1,2.9210519301611577,53,1,12,1,1,1,0.5,0,12,0,0,79,35,4,1,1,3,2,1,2,0,0,0,1,12,1,3,12,1,1,3,3,12,2,0,1,0.704
net.sourceforge.squirrel_sql.fw.gui.WindowStateBeanInfo,14,1,21,47.1947254958808,0,4,1.0,0,0.0,53,1,2,0,0,0,0.0,0,12,0,0,79,35,0,0,1,1,0,0,0,0,0,0,0,21,1,1,21,1,0,1,0,21,0,1,1,0.9166666666666669
net.sourceforge.squirrel_sql.fw.gui.action.AbstractExportCommand,116,6,1,60.80925583711035,6,9,2.6153846153846154,2,26.53745817501241,23,2,101,1,0,0,0.6666666666666666,0,13,0,0,79,23,0,2,1,1,3,2,3,0,6,0,2,12,1,1,12,1,1,1,4,12,3,0,1,0.1636666666666666
net.sourceforge.squirrel_sql.fw.gui.action.AbstractTableDependedCommand,6,3,3,60.80925583711035,1,9,0.0,1,0.4714045207910317,23,2,2,1,1,1,0.0,0,13,1,0,79,23,1,0,1,2,0,1,0,0,0,0,1,12,1,2,12,1,0,2,1,12,0,0,1,0.5283018867924528
net.sourceforge.squirrel_sql.fw.gui.action.BaseAction,18,0,4,60.80925583711035,3,9,0.5,2,2.165063509461097,23,2,6,1,1,1,0.8164965809277259,0,13,0,0,79,23,3,0,1,1,0,33,0,0,4,0,33,32,1,1,32,1,0,1,38,32,0,0,1,0.0473333333333333
net.sourceforge.squirrel_sql.fw.gui.action.ExportFileContainer,6,3,2,60.80925583711035,2,9,0.0,1,0.4330127018922193,23,2,2,1,1,1,0.4714045207910317,1,13,0,0,79,23,0,1,1,1,1,0,1,0,0,0,0,12,1,1,12,1,1,1,1,12,1,0,1,1.0
net.sourceforge.squirrel_sql.fw.gui.action.MakeEditableCommand,3,2,4,60.80925583711035,1,9,0.0,1,0.0,23,2,1,1,1,1,0.5,0,13,0,0,79,23,0,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,2,12,0,0,1,1.0
net.sourceforge.squirrel_sql.fw.gui.action.ResultSetExportCommand,33,2,3,60.80925583711035,6,9,0.3333333333333333,4,0.7637626158259734,23,2,3,1,1,1,1.4696938456699071,0,13,0,0,79,23,2,2,2,1,2,0,2,0,4,0,0,25,1,1,25,1,0,1,1,25,2,0,1,0.3589743589743591
net.sourceforge.squirrel_sql.fw.gui.action.ResultSetExportCsvController,22,1,3,60.80925583711035,1,9,0.0,1,0.4,23,2,2,1,1,1,0.4330127018922193,0,13,0,0,79,23,5,1,2,1,0,0,0,0,4,0,0,40,1,1,40,1,0,1,2,40,0,0,1,0.0826666666666666
net.sourceforge.squirrel_sql.fw.gui.action.ShowRowNumbersCommand,3,2,4,60.80925583711035,2,9,0.0,2,0.0,23,2,1,1,1,1,1.0,0,13,0,0,79,23,0,0,1,1,0,0,0,0,0,0,0,12,1,1,12,1,0,1,1,12,0,0,1,0.6
net.sourceforge.squirrel_sql.fw.gui.action.TableCopyCommand,31,2,10,60.80925583711035,2,9,0.0,2,21.5,23,2,45,1,1,1,1.0,0,13,0,0,79,23,1,1,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,2,12,0,0,1,0.6326666666666666
net.sourceforge.squirrel_sql.fw.gui.action.TableCopyHtmlCommand,85,2,18,60.80925583711035,2,9,6.0,1,4.966554808583781,23,2,17,2,1,1,0.4714045207910317,1,13,0,0,79,23,1,3,1,2,2,0,2,0,0,0,0,12,1,2,12,1,1,2,1,12,2,1,1,0.2974666666666666
net.sourceforge.squirrel_sql.fw.gui.action.TableCopyInStatementCommand,28,2,9,60.80925583711035,1,9,0.0,1,4.0,23,2,10,1,1,1,0.5,0,13,0,0,79,23,1,0,2,2,0,0,0,0,0,0,0,15,1,2,15,1,0,2,1,15,0,0,1,0.2651733333333333
net.sourceforge.squirrel_sql.fw.gui.action.TableCopyInsertStatementCommand,43,2,10,60.80925583711035,2,9,2.0,2,5.0,23,2,12,1,1,1,1.0,0,13,0,0,79,23,1,0,2,2,0,0,0,0,0,0,0,15,1,2,15,1,0,2,1,15,0,0,1,0.3376933333333333
net.sourceforge.squirrel_sql.fw.gui.action.TableCopySqlPartCommandBase,58,0,9,60.80925583711035,2,9,8.333333333333334,2,2.6246692913372702,23,2,8,2,1,1,0.0,0,13,2,2,79,23,0,0,1,1,0,4,0,0,1,0,4,12,1,1,12,1,2,1,4,12,0,0,1,0.1810957356753696
net.sourceforge.squirrel_sql.fw.gui.action.TableCopyUpdateStatementCommand,29,2,9,60.80925583711035,1,9,1.5,1,2.5,23,2,7,1,1,1,0.5,0,13,0,0,79,23,1,0,2,2,0,0,0,0,0,0,0,15,1,2,15,1,0,2,1,15,0,0,1,0.2706
net.sourceforge.squirrel_sql.fw.gui.action.TableCopyWhereStatementCommand,42,2,9,60.80925583711035,1,9,3.5,1,30.0,23,2,62,1,1,1,0.5,0,13,0,0,79,23,1,0,2,2,0,0,0,0,0,0,0,15,1,2,15,1,0,2,1,15,0,0,1,0.2874133333333333
net.sourceforge.squirrel_sql.fw.gui.action.TableCopyWikiCommand,23,2,8,60.80925583711035,2,9,0.5,2,3.0,23,2,8,2,1,1,1.0,0,13,0,0,79,23,1,2,1,2,2,0,2,0,0,0,0,12,1,2,12,1,0,2,1,12,2,0,1,0.5973333333333333
net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvCommand,18,1,3,60.80925583711035,3,9,2.0,1,1.8856180831641267,23,2,5,1,1,1,0.0,0,13,1,1,79,23,1,1,2,1,1,0,1,0,2,0,0,25,1,1,25,1,0,1,1,25,1,0,1,0.21568
net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvController,278,5,3,60.80925583711035,3,9,1.2857142857142858,1,5.447687208198296,23,2,18,1,1,1,0.3499271061118825,0,13,0,0,79,23,0,17,1,1,1,1,1,6,5,6,1,12,1,1,12,1,12,1,21,12,1,0,1,0.0096666666666666
net.sourceforge.squirrel_sql.fw.gui.action.TableExportCsvDlg,136,1,13,60.80925583711035,0,9,0.0,0,0.3307189138830738,23,2,2,2,1,1,0.0,0,13,0,0,79,23,1,2,1,1,1,1,1,0,1,0,1,749,1,1,749,1,6,1,6,749,1,0,1,0.145
net.sourceforge.squirrel_sql.fw.gui.action.TableSelectAllCellsCommand,6,2,5,60.80925583711035,1,9,0.0,1,0.5,23,2,2,1,1,1,0.5,0,13,0,0,79,23,1,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,1,12,0,0,1,0.6
net.sourceforge.squirrel_sql.fw.gui.action.TableSelectEntireRowsCommand,2,2,3,60.80925583711035,1,9,0.0,1,0.0,23,2,1,1,1,1,0.5,0,13,0,0,79,23,1,0,2,1,0,0,0,0,0,0,0,15,1,1,15,1,0,1,1,15,0,0,1,0.64
net.sourceforge.squirrel_sql.fw.gui.action.UndoMakeEditableCommand,3,2,4,60.80925583711035,1,9,0.0,1,0.0,23,2,1,1,1,1,0.5,0,13,0,0,79,23,0,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,1,12,0,0,1,1.0
net.sourceforge.squirrel_sql.fw.gui.action.exportData.AbstractDataExportFileWriter,71,12,1,26.73096292126838,12,3,0.1363636363636363,4,12.304420357358511,13,1,60,1,0,0,1.0154515589195334,0,8,0,0,79,5,0,2,1,2,1,3,1,0,9,0,3,12,1,2,12,1,1,2,5,12,1,0,1,0.7385147679324895
net.sourceforge.squirrel_sql.fw.gui.action.exportData.DataExportCSVWriter,36,4,3,26.73096292126838,10,3,0.2727272727272727,4,0.8907235428302466,13,1,3,1,1,1,1.1967032904743342,1,8,0,0,79,5,4,0,2,1,1,0,1,0,6,0,0,34,1,1,34,1,1,1,2,34,1,0,1,0.5994538286054353
net.sourceforge.squirrel_sql.fw.gui.action.exportData.DataExportExcelWriter,81,1,3,26.73096292126838,9,3,8.875,4,4.512136411945011,13,1,15,1,1,1,1.2583057392117916,0,8,0,0,79,5,1,0,2,1,0,0,0,0,4,0,0,34,1,1,34,1,3,1,1,34,0,0,1,0.331746835443038
net.sourceforge.squirrel_sql.fw.gui.action.exportData.DataExportXMLWriter,39,3,3,26.73096292126838,9,3,0.1428571428571428,4,0.6998542122237652,13,1,3,1,1,1,1.2777531299998797,0,8,0,0,79,5,3,0,2,1,0,0,0,0,4,0,0,34,1,1,34,1,0,1,1,34,0,0,1,0.7023809523809524
net.sourceforge.squirrel_sql.fw.gui.action.exportData.ExportDataRow,11,5,3,26.73096292126838,2,3,0.0,2,0.4898979485566356,13,1,2,1,1,1,0.0,0,8,2,0,79,5,1,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,2,12,0,0,1,0.609375
net.sourceforge.squirrel_sql.fw.gui.action.exportData.JTableExportData,35,3,8,26.73096292126838,2,3,0.3333333333333333,2,15.57776192739723,13,1,36,3,1,1,0.0,0,8,2,0,79,5,0,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,1,12,0,0,1,0.2108466654802865
net.sourceforge.squirrel_sql.fw.gui.action.exportData.ResultSetExportData,43,3,8,26.73096292126838,2,3,0.0,2,0.4714045207910317,13,1,2,3,1,1,0.0,0,8,2,0,79,5,0,2,1,2,2,0,2,0,0,0,0,12,1,2,12,1,0,2,3,12,2,0,1,0.0586666666666666
net.sourceforge.squirrel_sql.fw.gui.action.wikiTable.CopyWikiTableAction,7,2,6,31.990775580192214,4,2,0.0,3,0.5,12,1,2,1,1,1,1.0,0,8,1,1,79,9,1,1,2,1,0,0,0,0,0,0,0,36,1,1,36,1,0,1,1,36,0,0,1,0.6
net.sourceforge.squirrel_sql.fw.gui.action.wikiTable.CopyWikiTableActionFactory,28,4,3,31.990775580192214,5,2,0.25,2,0.7071067811865476,12,1,3,1,1,1,0.8944271909999159,1,8,0,0,79,9,1,2,1,2,2,0,2,1,0,1,0,12,1,2,12,1,3,2,1,12,2,0,1,0.6076666666666667
net.sourceforge.squirrel_sql.fw.gui.action.wikiTable.GenericWikiTableConfigurationBean,100,32,3,31.990775580192214,12,2,0.2727272727272727,10,1.067940011315521,12,1,7,1,1,1,2.7386127875258306,0,8,0,0,79,9,2,2,1,3,1,0,1,0,0,0,0,12,1,3,12,1,1,3,1,12,1,0,1,0.8936575342465753
net.sourceforge.squirrel_sql.fw.gui.action.wikiTable.GenericWikiTableTransformer,58,7,3,31.990775580192214,10,2,0.5555555555555556,3,5.258737584977436,12,1,17,1,1,1,0.9035079029052512,0,8,0,0,79,9,2,1,1,2,1,0,1,0,1,0,0,12,1,2,12,1,1,2,1,12,1,0,1,0.4124251700680272
net.sourceforge.squirrel_sql.fw.gui.action.wikiTable.WikiTableConfigurationFactory,68,11,3,31.990775580192214,10,2,0.4375,2,1.1110243021644486,12,1,4,1,1,1,0.6324555320336759,2,8,0,0,79,9,0,1,1,2,0,0,0,1,0,1,0,12,1,2,12,1,4,2,3,12,0,0,1,0.7619935064935064
net.sourceforge.squirrel_sql.fw.gui.action.wikiTable.WikiTableConfigurationStorage,8,5,3,31.990775580192214,1,2,0.0,1,0.4000000000000001,12,1,2,1,1,1,0.4714045207910317,0,8,0,0,79,9,2,0,1,1,0,0,0,0,0,0,0,12,1,1,12,1,0,1,1,12,0,0,1,0.537037037037037
net.sourceforge.squirrel_sql.fw.gui.action.wikiTable.WikiTableSelection,16,5,3,31.990775580192214,1,2,0.2,1,0.8,12,1,3,2,1,1,0.5,0,8,0,0,79,9,1,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,1,12,0,0,1,0.4978181818181817
net.sourceforge.squirrel_sql.fw.gui.debug.DebugBorder,12,5,3,30.0,7,25,0.0,6,0.0,2,2,1,1,1,1,2.6246692913372702,0,5,0,0,79,4,0,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,1,12,0,0,1,0.4988732394366196
net.sourceforge.squirrel_sql.fw.gui.debug.DebugEventListener,72,2,9,30.0,3,25,2.1666666666666665,2,1.5,2,2,5,3,1,1,0.5,0,5,1,1,79,4,0,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,4,2,1,12,0,0,1,0.6226493506493506
net.sourceforge.squirrel_sql.fw.id.IntegerIdentifier,11,5,4,4.910129835350589,2,4,0.0,1,0.4000000000000001,8,1,2,1,1,1,0.5,0,2,0,0,79,0,1,1,1,3,0,0,0,0,0,0,0,12,1,3,12,1,0,3,1,12,0,0,1,0.5833333333333333
net.sourceforge.squirrel_sql.fw.id.IntegerIdentifierFactory,4,3,4,4.910129835350589,1,4,0.0,1,0.0,8,1,1,1,1,1,0.4714045207910317,0,2,0,0,79,0,1,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,4,12,0,0,1,1.0
net.sourceforge.squirrel_sql.fw.id.UidIdentifier,11,5,4,4.910129835350589,1,4,0.0,1,0.4000000000000001,8,1,2,1,1,1,0.4330127018922193,0,2,0,0,79,0,1,1,1,3,0,0,0,0,0,0,0,12,1,3,12,1,0,3,1,12,0,0,1,0.6428571428571428
net.sourceforge.squirrel_sql.fw.id.UidIdentifierBeanInfo,11,1,18,4.910129835350589,0,4,1.0,0,0.0,8,1,2,0,0,0,0.0,0,2,0,0,79,0,0,0,1,1,0,0,0,0,0,0,0,21,1,1,21,1,0,1,0,21,0,1,1,0.8889999999999999
